rank,symbol,name,btcturk,paribu,binancetr,bitexen,icrypex,okx,bybit,gate,mexc,kucoin,htx,total
58,ENA,Ethena,4570391.7532,21531546.435,0,0,0,77522.0345759,0,0,0,0,0,26179460.222775895
59,RENDER,Render,11451409.7061,9040882.9,0,0,0,54485.422742,0,0,0,0,0,20546778.028842002
60,QNT,Quant,2388171.134895,1127678.829939,0,0,0,0,0,0,0,0,0,3515849.964834
61,TRUMP,TRUMP,17863292.5008,44859952.70736,0,0,0,371460.16563123,0,0,0,0,0,63094705.373791225
62,GT,Gate Token,0,0,0,0,0,0,0,0,0,0,0,0
63,ALGO,Algorand,519193.1311596,2127662.5519999997,0,0,0,0,0,0,0,0,0,2646855.6831595995
64,NIGHT,,0,0,0,0,0,243374.363346,0,0,0,0,0,243374.363346
65,APT,Aptos,6328345.806825,74718228.045,0,0,0,286185.51134,0,0,0,0,0,81332759.363165
66,MORPHO,,1902197.16,2673587.9924999997,0,0,0,0,0,0,0,0,0,4575785.1525
67,FLR,,1852809.1047136,756665.4364,0,0,0,0,0,0,0,0,0,2609474.5411136
68,FIL,Filecoin,8641408.072266001,68143194.35000001,0,0,0,288086.29816,0,0,0,0,0,77072688.72042601
69,ZRO,,5312982.843,20289829.99389,0,0,0,7702.077961,0,0,0,0,0,25610514.914851
70,XDC,,0,0,0,0,0,0,0,0,0,0,0,0
71,PUMP,,39055131.0235,109896164.9664,0,0,0,528366.8447065,0,0,0,0,0,149479662.8346065
72,VET,VeChain,0,466954.336,0,0,0,0,0,0,0,0,0,466954.336
73,ARB,Arbitrum,3793575.9066800005,31673041.180000003,0,0,0,38840.818748,0,0,0,0,0,35505457.905428
74,NEXO,Nexo,0,0,0,0,0,0,0,0,0,0,0,0
75,JUP,Jupiter,1727845.425,3587928.1536,0,0,0,870.29595,0,0,0,0,0,5316643.87455
76,STABLE,,0,0,0,0,0,0,0,0,0,0,0,0
77,BONK,Bonk,12434632.867550401,68519676.6314496,0,0,0,165557.55582391,0,0,0,0,0,81119867.0548239
78,JST,,0,0,0,0,0,0,0,0,0,0,0,0
79,FET,Fetch.ai,39887267.5896888,83822258.42199999,0,0,0,260499.1859369,0,0,0,0,0,123970025.1976257
80,TUSD,,0,0,0,0,0,0,0,0,0,0,0,0
81,VIRTUAL,,960158.081,34926735.9625,0,0,0,0,0,0,0,0,0,35886894.0435
82,RIVER,,0,0,0,0,0,0,0,0,0,0,0,0
83,CAKE,PancakeSwap,0,0,0,0,0,0,0,0,0,0,0,0
84,PENGU,,10261068.02588,2686445.1522,0,0,0,283514.069153,0,0,0,0,0,13231027.247233
85,DCR,,0,0,0,0,0,0,0,0,0,0,0,0
86,DEXE,,0,0,0,0,0,0,0,0,0,0,0,0
87,STX,Stacks,832883.9941233,542801.196,0,0,0,401.906462,0,0,0,0,0,1376087.0965853
88,SEI,Sei,488031.90425,2915014.1981999995,0,0,0,0,0,0,0,0,0,3403046.1024499997
89,ETHFI,,9161144.0092,28228213.125,0,0,0,232462.462878,0,0,0,0,0,37621819.597077996
90,EURC,,0,0,0,0,0,0,0,0,0,0,0,0
91,DASH,Dash,85721015.97387196,0,0,0,0,0,0,0,0,0,0,85721015.97387196
92,XTZ,Tezos,1339481.3950600002,860573.7942000001,0,0,0,0,0,0,0,0,0,2200055.1892600004
93,CHZ,Chiliz,2816156.160972,8252889.4,0,0,0,33081.428875,0,0,0,0,0,11102126.989847
94,FDUSD,,0,0,0,0,0,0,0,0,0,0,0,0
95,GNO,,0,0,0,0,0,0,0,0,0,0,0,0
96,CRV,Curve,4168325.9107215004,3229295.5415000003,0,0,0,0,0,0,0,0,0,7397621.452221501
97,BTT,,0,0,0,0,0,0,0,0,0,0,0,0
98,IMX,Immutable,1424754.013667,886873.5054,0,0,0,0,0,0,0,0,0,2311627.519067
99,KITE,,177793773.39812,68980018.094,0,0,0,54941.791305,0,0,0,0,0,246828733.28342497
100,KAIA,Kaia,0,0,0,0,0,0,0,0,0,0,0,0
101,NFT,,0,0,0,0,0,0,0,0,0,0,0,0
102,SUN,,0,0,0,0,0,0,0,0,0,0,0,0
103,CFX,,0,0,0,0,0,0,0,0,0,0,0,0
104,TIA,Celestia,4402566.942000001,25320240.14,0,0,0,79247.835379,0,0,0,0,0,29802054.917379003
105,INJ,Injective,2886379.3602,4018015.43,0,0,0,0,0,0,0,0,0,6904394.790200001
106,AERO,,880325.55,194825.52998,0,0,0,0,0,0,0,0,0,1075151.07998
107,BSV,Bitcoin SV,0,0,0,0,0,0,0,0,0,0,0,0
108,LIT,,0,0,0,0,0,197440.02251,0,0,0,0,0,197440.02251
109,SPX,,0,0,0,0,0,0,0,0,0,0,0,0
110,GRT,The Graph,2425731.8541009002,4889272.052,0,0,0,0,0,0,0,0,0,7315003.906100901
111,JASMY,JasmyCoin,885225.4291553401,6063448.2488,0,0,0,0,0,0,0,0,0,6948673.677955341
112,FLOKI,Floki,13103485.8018624,120777254.95689216,0,0,0,58125.181637,0,0,0,0,0,133938865.94039157
113,SYRUP,,0,233827.66484,0,0,0,0,0,0,0,0,0,233827.66484
114,IOTA,IOTA,0,0,0,0,0,0,0,0,0,0,0,0
115,IP,,0,0,0,0,0,285766.979545,0,0,0,0,0,285766.979545
116,2Z,,958992.7644,1051846.4175,0,0,0,0,0,0,0,0,0,2010839.1819
117,OP,Optimism,5296377.265799999,11896052.715,0,0,0,40480.084933,0,0,0,0,0,17232910.065733
118,PYTH,Pyth Network,9732720.624,4810947.24,0,0,0,0,0,0,0,0,0,14543667.864
119,H,,69231433.64107999,0,0,0,0,0,0,0,0,0,0,69231433.64107999
120,LDO,Lido DAO,2075936.682,11259416.925,0,0,0,0,0,0,0,0,0,13335353.607
121,MON,,2559630.1334400005,19730176.524,0,0,0,0,0,0,0,0,0,22289806.65744
122,SAND,The Sandbox,1075533.118,1098538.5246000001,0,0,0,0,0,0,0,0,0,2174071.6426
123,TEL,,0,0,0,0,0,0,0,0,0,0,0,0
124,ENS,ENS,1024509.6159199999,3344414.0737799997,0,0,0,0,0,0,0,0,0,4368923.6897
125,VVV,,17960089.8048,0,0,0,0,0,0,0,0,0,0,17960089.8048
126,B,,0,0,0,0,0,0,0,0,0,0,0,0
127,HNT,Helium,1804065.0614000002,1868451.4144799998,0,0,0,0,0,0,0,0,0,3672516.47588
128,LUNC,Terra Classic,0,0,0,0,0,0,0,0,0,0,0,0
129,TWT,Trust Wallet Token,0,0,0,0,0,0,0,0,0,0,0,0
130,STRK,,14120112.942,51916695.1,0,0,0,80929.752623,0,0,0,0,0,66117737.794623
131,XCN,,29670129.794604603,21907500.68,0,0,0,0,0,0,0,0,0,51577630.47460461
132,AXS,Axie Infinity,5981651.510981999,2119105.48352,0,0,0,47713.804328,0,0,0,0,0,8148470.798829999
133,AB,,0,0,0,0,0,0,0,0,0,0,0,0
134,PENDLE,Pendle,0,1127938.4009999998,0,0,0,0,0,0,0,0,0,1127938.4009999998
135,ZBCN,,0,0,0,0,0,0,0,0,0,0,0,0
136,FARTCOIN,,0,0,0,0,0,0,0,0,0,0,0,0
137,VSN,,0,0,0,0,0,0,0,0,0,0,0,0
138,XPL,,12336914.59,18470042.0,0,0,0,588308.586379,0,0,0,0,0,31395265.176379
139,CVX,Convex Finance,0,0,0,0,0,0,0,0,0,0,0,0
140,NEO,NEO,3081312.860146,4055526.89762,0,0,0,0,0,0,0,0,0,7136839.757766
141,ZK,ZKsync,3687536.4296799996,2549249.4942,0,0,0,12756.340257,0,0,0,0,0,6249542.264137
142,COMP,Compound,1249888.594891812,8827967.981736,0,0,0,0,0,0,0,0,0,10077856.576627813
143,WAL,,0,774715.61106,0,0,0,0,0,0,0,0,0,774715.61106
144,MANA,Decentraland,4092387.4955180003,1965581.6544,0,0,0,0,0,0,0,0,0,6057969.149918
145,BARD,,131502900.4554,0,0,0,0,497500.815721,0,0,0,0,0,132000401.27112101
146,FLUID,,0,0,0,0,0,0,0,0,0,0,0,0
147,THETA,Theta Network,0,290583.3969,0,0,0,0,0,0,0,0,0,290583.3969
148,WIF,dogwifhat,7373539.272,14440799.479999999,0,0,0,12839.809278,0,0,0,0,0,21827178.561277997
149,FF,,0,32918133.99,0,0,0,0,0,0,0,0,0,32918133.99
150,RAY,Raydium,135437.1,4951111.11,0,0,0,0,0,0,0,0,0,5086548.21
151,GALA,Gala,13038039.739711868,16975074.124,0,0,0,0,0,0,0,0,0,30013113.86371187
152,MX,,0,0,0,0,0,0,0,0,0,0,0,0
153,TRAC,,0,0,0,0,0,0,0,0,0,0,0,0
154,DEEP,,0,0,0,0,0,0,0,0,0,0,0,0
155,BAT,Basic Attention Token,754645.7045144,2307987.2316,0,0,0,0,0,0,0,0,0,3062632.9361144
156,RUNE,THORChain,251306.3609,0,0,0,0,0,0,0,0,0,0,251306.3609
157,SENT,,9473467.3785,572346.783705,0,0,0,56297.841792,0,0,0,0,0,10102112.003997
158,AKT,Akash Network,0,7855567.558999999,0,0,0,0,0,0,0,0,0,7855567.558999999
159,SFP,,0,0,0,0,0,0,0,0,0,0,0,0
160,XEC,eCash,0,0,0,0,0,0,0,0,0,0,0,0
161,BERA,Berachain,0,6274640.872099999,0,0,0,139856.8458,0,0,0,0,0,6414497.7179
162,1INCH,1inch,0,365419.56150000007,0,0,0,0,0,0,0,0,0,365419.56150000007
163,GLM,Golem,1957276.1858098,51853439.279999994,0,0,0,0,0,0,0,0,0,53810715.46580979
164,S,,1412737.5288,2052906.4000000001,0,0,0,0,0,0,0,0,0,3465643.9288
165,COW,,0,721290.9776699999,0,0,0,0,0,0,0,0,0,721290.9776699999
166,EIGEN,,6472614.578000001,26322239.44,0,0,0,29239.528583,0,0,0,0,0,32824093.546583004
167,A,,0,375497.11519999994,0,0,0,0,0,0,0,0,0,375497.11519999994
168,JTO,,1338985.7282,5961446.875,0,0,0,0,0,0,0,0,0,7300432.6032
169,STG,,0,977241.5874,0,0,0,0,0,0,0,0,0,977241.5874
170,WEMIX,,0,0,0,0,0,0,0,0,0,0,0,0
171,BEAT,,0,0,0,0,0,0,0,0,0,0,0,0
172,EGLD,MultiversX,0,0,0,0,0,0,0,0,0,0,0,0
173,ATH,,10595457.053140001,7713669.162,0,0,0,3891.33703,0,0,0,0,0,18313017.55217
174,PIPPIN,,0,0,0,0,0,0,0,0,0,0,0,0
175,SKR,,0,0,0,0,0,0,0,0,0,0,0,0
176,0G,,8923546.3518,10768207.06304,0,0,0,0,0,0,0,0,0,19691753.414839998
177,AR,Arweave,0,0,0,0,0,0,0,0,0,0,0,0
178,MELANIA,,5113099.5245,0,0,0,0,0,0,0,0,0,0,5113099.5245
179,LPT,,1128871.050061,2978403.2136600004,0,0,0,0,0,0,0,0,0,4107274.2637210004
180,AMP,,17744081.80241136,0,0,0,0,0,0,0,0,0,0,17744081.80241136
181,ZEN,,0,0,0,0,0,0,0,0,0,0,0,0
182,SNX,Synthetix,9756569.4772,34491982.980000004,0,0,0,370574.600817,0,0,0,0,0,44619127.05801701
183,AWE,,0,0,0,0,0,0,0,0,0,0,0,0
184,GRASS,,0,44755333.987500004,0,0,0,0,0,0,0,0,0,44755333.987500004
185,RSR,Reserve Rights,0,0,0,0,0,0,0,0,0,0,0,0
186,GAS,,0,0,0,0,0,0,0,0,0,0,0,0
187,BEAM,,3088776.03804,707524.272,0,0,0,0,0,0,0,0,0,3796300.31004
188,W,,5511116.90136,4139064.9719999996,0,0,0,150322.962592,0,0,0,0,0,9800504.835951999
189,YZY,,0,0,0,0,0,0,0,0,0,0,0,0
190,FORM,,0,0,0,0,0,0,0,0,0,0,0,0
191,YFI,yearn.finance,0,0,0,0,0,0,0,0,0,0,0,0
192,QTUM,Qtum,0,0,0,0,0,0,0,0,0,0,0,0
193,TFUEL,,0,0,0,0,0,0,0,0,0,0,0,0
194,TOSHI,,0,0,0,0,0,0,0,0,0,0,0,0
195,ROSE,Oasis Network,0,0,0,0,0,0,0,0,0,0,0,0
196,KMNO,,0,0,0,0,0,0,0,0,0,0,0,0
197,FTT,,0,0,0,0,0,0,0,0,0,0,0,0
198,ZRX,0x Protocol,1074500.40446616,4955233.74,0,0,0,0,0,0,0,0,0,6029734.14446616
199,RVN,Ravencoin,0,1110696.0625,0,0,0,0,0,0,0,0,0,1110696.0625
200,CTC,,0,0,0,0,0,0,0,0,0,0,0,0
